date_de_tirage,boules_gagnantes_en_ordre_croissant,etoiles_gagnantes_en_ordre_croissant,boule_1,boule_2,boule_3,boule_4,boule_5,etoile_1,etoile_2
14/12/2021,-19-21-37-47-48-,-3-6-,37,19,47,21,48,3,6
10/12/2021,-11-21-33-38-42-,-2-8-,11,21,42,38,33,8,2
07/12/2021,-22-31-38-46-47-,-7-11-,22,31,46,47,38,7,11
03/12/2021,-21-22-29-32-46-,-9-10-,46,21,32,22,29,9,10
30/11/2021,-19-20-26-33-43-,-1-4-,43,19,33,26,20,4,1
26/11/2021,-1-20-41-42-50-,-3-7-,50,20,41,42,1,3,7
23/11/2021,-17-21-36-42-46-,-7-10-,21,17,42,36,46,10,7
19/11/2021,-22-26-38-47-50-,-2-6-,50,26,47,22,38,6,2
16/11/2021,-9-19-21-32-36-,-3-4-,9,32,36,19,21,4,3
12/11/2021,-2-9-15-47-50-,-6-9-,50,15,9,47,2,9,6
09/11/2021,-17-25-26-33-36-,-1-8-,33,25,36,26,17,8,1
05/11/2021,-2-12-25-30-41-,-8-11-,41,25,2,12,30,11,8
02/11/2021,-2-3-17-29-43-,-1-4-,29,43,2,3,17,4,1
29/10/2021,-10-15-28-32-49-,-3-9-,28,10,32,15,49,9,3
26/10/2021,-12-15-20-42-44-,-1-2-,12,44,42,15,20,2,1
22/10/2021,-12-17-22-33-39-,-2-12-,33,12,17,39,22,2,12
19/10/2021,-4-20-36-40-41-,-1-6-,40,4,36,41,20,1,6
15/10/2021,-21-26-31-34-49-,-2-5-,49,21,26,34,31,5,2
12/10/2021,-6-13-22-45-49-,-10-11-,13,45,22,6,49,10,11
08/10/2021,-1-10-23-42-46-,-3-5-,10,42,23,46,1,3,5
05/10/2021,-11-13-14-36-45-,-7-9-,45,14,36,13,11,7,9
01/10/2021,-1-15-19-26-48-,-6-12-,1,19,15,48,26,6,12
28/09/2021,-6-7-12-33-39-,-1-7-,12,7,6,33,39,7,1
24/09/2021,-2-12-20-27-41-,-10-12-,27,12,20,2,41,10,12
21/09/2021,-20-25-26-30-38-,-2-8-,20,25,26,30,38,8,2
17/09/2021,-5-7-8-10-34-,-1-9-,10,7,5,8,34,9,1
14/09/2021,-12-18-35-38-45-,-2-8-,12,38,45,18,35,2,8
10/09/2021,-1-6-7-18-28-,-2-8-,6,7,28,18,1,2,8
07/09/2021,-7-19-35-42-43-,-7-9-,42,7,19,35,43,7,9
03/09/2021,-5-7-13-29-35-,-3-7-,5,13,29,35,7,3,7
31/08/2021,-5-13-17-32-43-,-2-10-,17,5,32,13,43,2,10
27/08/2021,-2-3-31-46-50-,-8-12-,31,46,3,50,2,12,8
24/08/2021,-19-21-36-44-50-,-3-10-,21,36,44,19,50,3,10
20/08/2021,-3-9-19-20-23-,-9-11-,3,19,9,20,23,11,9
17/08/2021,-12-31-41-42-47-,-4-6-,47,12,41,42,31,6,4
13/08/2021,-6-12-44-47-49-,-8-12-,49,44,47,12,6,8,12
