date_de_tirage,boules_gagnantes_en_ordre_croissant,etoiles_gagnantes_en_ordre_croissant,boule_1,boule_2,boule_3,boule_4,boule_5,numero_chance_1,numero_chance_2
2017-09-19,-1-8-21-30-45-,-2-3-,45,21,1,8,30,3,2
2017-09-22,-6-11-31-39-42-,-1-3-,6,31,39,42,11,3,1
2017-09-26,-1-29-40-41-48-,-6-12-,40,29,1,48,41,12,6
2017-09-29,-7-18-19-32-48-,-3-7-,18,32,7,48,19,3,7
2017-10-03,-6-24-32-48-50-,-1-5-,32,6,50,24,48,1,5
2017-10-06,-1-9-15-19-25-,-1-7-,15,1,9,25,19,1,7
2017-10-10,-4-21-34-36-37-,-3-6-,36,4,37,21,34,6,3
2017-10-13,-23-29-37-45-50-,-5-11-,23,37,50,29,45,5,11
2017-10-17,-13-17-19-26-36-,-2-3-,19,26,17,13,36,2,3
2017-10-20,-4-17-23-27-30-,-3-8-,4,27,23,30,17,3,8
2017-10-24,-9-11-13-27-33-,-7-10-,27,9,33,13,11,10,7
2017-10-27,-3-16-23-32-39-,-1-4-,39,23,16,32,3,1,4
2017-10-31,-1-12-36-43-46-,-3-5-,46,12,43,36,1,3,5
2017-11-03,-5-12-17-33-41-,-4-9-,41,5,33,17,12,4,9
2017-11-07,-7-19-20-37-41-,-2-12-,37,19,41,20,7,12,2
2017-11-10,-13-22-29-36-37-,-1-9-,37,36,29,22,13,1,9
2017-11-14,-14-16-39-40-41-,-8-10-,16,40,39,41,14,8,10
2017-11-17,-20-26-35-36-42-,-5-12-,35,36,26,42,20,5,12
2017-11-21,-2-10-14-28-31-,-5-7-,31,28,10,2,14,7,5
2017-11-24,-19-24-28-30-50-,-3-10-,28,24,50,19,30,10,3
2017-11-28,-1-6-12-18-42-,-2-7-,42,1,12,6,18,2,7
2017-12-01,-5-24-29-35-46-,-11-12-,5,46,29,35,24,11,12
2017-12-05,-11-36-43-44-48-,-2-7-,48,11,44,43,36,2,7
2017-12-08,-4-22-30-32-34-,-3-4-,34,32,22,30,4,4,3
2017-12-12,-20-37-39-44-50-,-4-8-,39,20,37,50,44,4,8
2017-12-15,-25-30-31-42-50-,-2-11-,25,42,30,50,31,11,2
2017-12-19,-8-15-30-38-46-,-4-7-,15,38,46,8,30,4,7
2017-12-22,-5-24-30-31-43-,-3-6-,5,30,24,31,43,3,6
2017-12-26,-4-17-30-43-44-,-2-10-,30,4,17,44,43,10,2
2017-12-29,-4-8-22-23-48-,-1-12-,4,48,8,22,23,1,12
2018-01-02,-10-20-21-28-48-,-1-8-,20,10,21,48,28,1,8
2018-01-05,-2-5-20-38-41-,-4-8-,41,38,20,5,2,4,8
2018-01-09,-6-12-15-38-49-,-2-9-,6,49,38,12,15,9,2
2018-01-12,-13-21-23-30-45-,-4-6-,45,30,21,13,23,6,4
2018-01-16,-20-23-31-34-46-,-3-12-,46,34,31,20,23,3,12
2018-01-19,-3-8-17-44-50-,-2-7-,44,3,17,50,8,2,7
2018-01-23,-5-8-9-23-24-,-7-8-,5,23,8,9,24,7,8
2018-01-26,-6-15-24-28-48-,-4-9-,28,15,24,48,6,9,4
2018-01-30,-11-15-21-27-35-,-4-5-,11,15,35,27,21,5,4
2018-02-02,-14-34-36-39-48-,-2-3-,36,39,34,14,48,2,3
2018-02-06,-8-17-28-34-38-,-6-12-,8,28,17,38,34,6,12
